iShares Core S&P Mid-Cap ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Market Weight,Notional Weight
"RGLD","ROYAL GOLD INC","EQUITY","Materials","Equity","599,680,126.54","599,680,126.54","2,791,547.00","214.82","United States","NASDAQ","USD","1.00","USD","-","0.49","0.49"
"EWBC","EAST WEST BANCORP INC","EQUITY","Financials","Equity","595,242,208.89","595,242,208.89","4,693,969.00","126.81","United States","NASDAQ","USD","1.00","USD","-","0.49","0.48"
"ONTO","ONTO INNOVATION INC","EQUITY","Information Technology","Equity","568,890,248.64","568,890,248.64","1,704,489.00","333.76","United States","NYSE","USD","1.00","USD","-","0.46","0.46"
"APG","API GROUP CORP","EQUITY","Industrials","Equity","562,007,425.80","562,007,425.80","13,211,270.00","42.54","United States","NYSE","USD","1.00","USD","-","0.46","0.46"
"PFGC","PERFORMANCE FOOD GROUP","EQUITY","Consumer Staples","Equity","557,729,158.14","557,729,158.14","5,382,447.00","103.62","United States","NYSE","USD","1.00","USD","-","0.46","0.45"
"NLY","ANNALY CAPITAL MANAGEMENT REIT INC","EQUITY","Financials","Equity","557,639,951.47","557,639,951.47","25,107,607.00","22.21","United States","NYSE","USD","1.00","USD","-","0.46","0.45"
"SITM","SITIME CORP","EQUITY","Information Technology","Equity","553,867,726.88","553,867,726.88","759,722.00","729.04","United States","NASDAQ","USD","1.00","USD","-","0.45","0.45"
"NBIX","NEUROCRINE BIOSCIENCES INC","EQUITY","Health Care","Equity","545,344,981.83","545,344,981.83","3,445,227.00","158.29","United States","NASDAQ","USD","1.00","USD","-","0.44","0.44"
"WPC","W. P. CAREY REIT INC","EQUITY","Real Estate","Equity","543,066,601.56","543,066,601.56","7,625,198.00","71.22","United States","NYSE","USD","1.00","USD","-","0.44","0.44"
"SGI","SOMNIGROUP INTERNATIONAL INC","EQUITY","Consumer Discretionary","Equity","541,255,688.30","541,255,688.30","7,207,133.00","75.10","United States","NYSE","USD","1.00","USD","-","0.44","0.44"
"AA","ALCOA CORP","EQUITY","Materials","Equity","536,818,315.44","536,818,315.44","9,041,912.00","59.37","United States","NYSE","USD","1.00","USD","-","0.44","0.44"
"DKS","DICKS SPORTING INC","EQUITY","Consumer Discretionary","Equity","525,856,647.68","525,856,647.68","2,257,283.00","232.96","United States","NYSE","USD","1.00","USD","-","0.43","0.43"
"RMBS","RAMBUS INC","EQUITY","Information Technology","Equity","523,062,519.32","523,062,519.32","3,705,196.00","141.17","United States","NASDAQ","USD","1.00","USD","-","0.43","0.43"
"MLI","MUELLER INDUSTRIES INC","EQUITY","Industrials","Equity","520,507,922.77","520,507,922.77","3,788,543.00","137.39","United States","NYSE","USD","1.00","USD","-","0.42","0.42"
"RRX","REGAL REXNORD CORP","EQUITY","Industrials","Equity","517,272,026.76","517,272,026.76","2,280,942.00","226.78","United States","NYSE","USD","1.00","USD","-","0.42","0.42"
"LECO","LINCOLN ELECTRIC HOLDINGS INC","EQUITY","Industrials","Equity","516,669,462.44","516,669,462.44","1,877,228.00","275.23","United States","NASDAQ","USD","1.00","USD","-","0.42","0.42"
"THC","TENET HEALTHCARE CORP","EQUITY","Health Care","Equity","509,313,088.94","509,313,088.94","2,951,342.00","172.57","United States","NYSE","USD","1.00","USD","-","0.42","0.41"
"TOL","TOLL BROTHERS INC","EQUITY","Consumer Discretionary","Equity","505,139,654.13","505,139,654.13","3,244,939.00","155.67","United States","NYSE","USD","1.00","USD","-","0.41","0.41"
"BWA","BORGWARNER INC","EQUITY","Consumer Discretionary","Equity","504,890,873.44","504,890,873.44","7,027,991.00","71.84","United States","NYSE","USD","1.00","USD","-","0.41","0.41"
"SMTC","SEMTECH CORP","EQUITY","Information Technology","Equity","504,834,080.84","504,834,080.84","3,190,508.00","158.23","United States","NASDAQ","USD","1.00","USD","-","0.41","0.41"
"DTM","DT MIDSTREAM INC","EQUITY","Energy","Equity","500,889,960.20","500,889,960.20","3,495,394.00","143.30","United States","NYSE","USD","1.00","USD","-","0.41","0.41"
"CSL","CARLISLE COMPANIES INC","EQUITY","Industrials","Equity","499,313,080.32","499,313,080.32","1,383,292.00","360.96","United States","NYSE","USD","1.00","USD","-","0.41","0.41"
"PR","PERMIAN RESOURCES CORP CLASS A","EQUITY","Energy","Equity","497,008,186.78","497,008,186.78","26,967,346.00","18.43","United States","NYSE","USD","1.00","USD","-","0.41","0.40"
"PNFP","PINNACLE FINANCIAL PARTNERS INC","EQUITY","Financials","Equity","495,330,486.12","495,330,486.12","5,153,251.00","96.12","United States","NYSE","USD","1.00","USD","-","0.40","0.40"
"OVV","OVINTIV INC","EQUITY","Energy","Equity","494,552,866.71","494,552,866.71","9,436,231.00","52.41","United States","NYSE","USD","1.00","USD","-","0.40","0.40"
"EVR","EVERCORE INC CLASS A","EQUITY","Financials","Equity","491,287,826.92","491,287,826.92","1,321,661.00","371.72","United States","NYSE","USD","1.00","USD","-","0.40","0.40"
"CLH","CLEAN HARBORS INC","EQUITY","Industrials","Equity","491,237,892.60","491,237,892.60","1,702,141.00","288.60","United States","NYSE","USD","1.00","USD","-","0.40","0.40"
"ROIV","ROIVANT SCIENCES LTD","EQUITY","Health Care","Equity","485,570,681.82","485,570,681.82","15,449,274.00","31.43","United States","NASDAQ","USD","1.00","USD","-","0.40","0.40"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","EQUITY","Information Technology","Equity","485,501,163.96","485,501,163.96","1,303,044.00","372.59","United States","NASDAQ","USD","1.00","USD","-","0.40","0.40"
"DOCN","DIGITALOCEAN HOLDINGS INC","EQUITY","Information Technology","Equity","483,276,540.31","483,276,540.31","2,789,153.00","173.27","United States","NYSE","USD","1.00","USD","-","0.39","0.39"
"JAZZ","JAZZ PHARMACEUTICALS PLC","EQUITY","Health Care","Equity","482,972,495.38","482,972,495.38","2,149,793.00","224.66","United States","NASDAQ","USD","1.00","USD","-","0.39","0.39"
"WSO","WATSCO INC","EQUITY","Industrials","Equity","480,987,324.00","480,987,324.00","1,199,350.00","401.04","United States","NYSE","USD","1.00","USD","-","0.39","0.39"
"ARMK","ARAMARK","EQUITY","Consumer Discretionary","Equity","480,496,793.74","480,496,793.74","9,009,878.00","53.33","United States","NYSE","USD","1.00","USD","-","0.39","0.39"
"RGA","REINSURANCE GROUP OF AMERICA INC","EQUITY","Financials","Equity","472,592,611.26","472,592,611.26","2,244,669.00","210.54","United States","NYSE","USD","1.00","USD","-","0.39","0.39"
