iShares Core S&P 500 ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 15, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"SHW","SHERWIN WILLIAMS","Materials","Equity","958,647,232.05","0.11","958,647,232.05","2,988,395.00","320.79","United States","NYSE","USD","1.00","USD","-"
"ORLY","OREILLY AUTOMOTIVE INC","Consumer Discretionary","Equity","937,623,898.12","0.11","937,623,898.12","10,797,143.00","86.84","United States","NASDAQ","USD","1.00","USD","Jan 01, 1970"
"SLB","SLB NV","Energy","Equity","936,732,125.70","0.11","936,732,125.70","19,478,730.00","48.09","United States","NYSE","USD","1.00","USD","-"
"FDX","FEDEX CORP","Industrials","Equity","932,959,727.00","0.11","932,959,727.00","2,860,085.00","326.20","United States","NYSE","USD","1.00","USD","-"
"CL","COLGATE-PALMOLIVE","Consumer Staples","Equity","932,869,176.52","0.11","932,869,176.52","10,425,449.00","89.48","United States","NYSE","USD","1.00","USD","-"
"GM","GENERAL MOTORS","Consumer Discretionary","Equity","931,463,715.24","0.11","931,463,715.24","11,747,556.00","79.29","United States","NYSE","USD","1.00","USD","-"
"MPC","MARATHON PETROLEUM CORP","Energy","Equity","923,932,476.00","0.11","923,932,476.00","3,803,600.00","242.91","United States","NYSE","USD","1.00","USD","-"
"VLO","VALERO ENERGY CORP","Energy","Equity","914,173,810.00","0.11","914,173,810.00","3,868,700.00","236.30","United States","NYSE","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","907,157,072.50","0.11","907,157,072.50","1,739,515.00","521.50","United States","NYSE","USD","1.00","USD","-"
"AEP","AMERICAN ELECTRIC POWER INC","Utilities","Equity","905,192,239.27","0.11","905,192,239.27","7,088,983.00","127.69","United States","NASDAQ","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","901,999,199.54","0.11","901,999,199.54","6,939,523.00","129.98","United States","NYSE","USD","1.00","USD","-"
"FIX","COMFORT SYSTEMS USA INC","Industrials","Equity","900,768,831.45","0.11","900,768,831.45","457,845.00","1,967.41","United States","NYSE","USD","1.00","USD","-"
"ITW","ILLINOIS TOOL INC","Industrials","Equity","900,811,518.18","0.11","900,811,518.18","3,411,002.00","264.09","United States","NYSE","USD","1.00","USD","-"
"TER","TERADYNE INC","Information Technology","Equity","893,158,422.24","0.11","893,158,422.24","2,039,547.00","437.92","United States","NASDAQ","USD","1.00","USD","-"
"SPG","SIMON PROPERTY GROUP REIT INC","Real Estate","Equity","892,857,838.18","0.11","892,857,838.18","4,224,946.00","211.33","United States","NYSE","USD","1.00","USD","-"
"ECL","ECOLAB INC","Materials","Equity","888,119,144.32","0.11","888,119,144.32","3,300,086.00","269.12","United States","NYSE","USD","1.00","USD","-"
"AON","AON PLC CLASS A","Financials","Equity","884,152,220.72","0.11","884,152,220.72","2,782,628.00","317.74","United States","NYSE","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","882,158,132.79","0.10","882,158,132.79","1,957,437.00","450.67","United States","NYSE","USD","1.00","USD","-"
"URI","UNITED RENTALS INC","Industrials","Equity","878,866,478.56","0.10","878,866,478.56","816,176.00","1,076.81","United States","NYSE","USD","1.00","USD","-"
"NSC","NORFOLK SOUTHERN CORP","Industrials","Equity","878,099,197.36","0.10","878,099,197.36","2,926,217.00","300.08","United States","NYSE","USD","1.00","USD","-"
"BSX","BOSTON SCIENTIFIC CORP","Health Care","Equity","877,056,475.05","0.10","877,056,475.05","19,365,345.00","45.29","United States","NYSE","USD","1.00","USD","-"
"KKR","KKR AND CO INC","Financials","Equity","873,826,790.95","0.10","873,826,790.95","9,007,595.00","97.01","United States","NYSE","USD","1.00","USD","-"
"PSX","PHILLIPS 66","Energy","Equity","867,861,530.64","0.10","867,861,530.64","5,223,676.00","166.14","United States","NYSE","USD","1.00","USD","-"
"LITE","LUMENTUM HOLDINGS INC","Information Technology","Equity","861,574,450.00","0.10","861,574,450.00","1,013,617.00","850.00","United States","NASDAQ","USD","1.00","USD","-"
"DASH","DOORDASH INC CLASS A","Consumer Discretionary","Equity","855,239,673.12","0.10","855,239,673.12","4,930,472.00","173.46","United States","NASDAQ","USD","1.00","USD","-"
"MSI","MOTOROLA SOLUTIONS INC","Information Technology","Equity","854,625,465.26","0.10","854,625,465.26","2,162,678.00","395.17","United States","NYSE","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES INC","Financials","Equity","852,797,454.92","0.10","852,797,454.92","2,770,532.00","307.81","United States","NYSE","USD","1.00","USD","-"
"MNST","MONSTER BEVERAGE CORP","Consumer Staples","Equity","849,628,238.80","0.10","849,628,238.80","9,301,820.00","91.34","United States","NASDAQ","USD","1.00","USD","-"
"WBD","WARNER BROS. DISCOVERY INC SERIES","Communication","Equity","846,010,209.20","0.10","846,010,209.20","32,290,466.00","26.20","United States","NASDAQ","USD","1.00","USD","-"
"TEL","TE CONNECTIVITY PLC","Information Technology","Equity","827,699,501.88","0.10","827,699,501.88","3,803,067.00","217.64","United States","NYSE","USD","1.00","USD","-"
"APO","APOLLO GLOBAL MANAGEMENT INC","Financials","Equity","826,242,725.00","0.10","826,242,725.00","6,009,038.00","137.50","United States","NYSE","USD","1.00","USD","-"
"HPE","HEWLETT PACKARD ENTERPRISE","Information Technology","Equity","819,587,242.43","0.10","819,587,242.43","17,287,223.00","47.41","United States","NYSE","USD","1.00","USD","-"
"PCAR","PACCAR INC","Industrials","Equity","815,622,783.30","0.10","815,622,783.30","6,856,854.00","118.95","United States","NASDAQ","USD","1.00","USD","-"
"APD","AIR PRODUCTS AND CHEMICALS INC","Materials","Equity","812,950,015.57","0.10","812,950,015.57","2,901,217.00","280.21","United States","NYSE","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES INC","Information Technology","Equity","812,614,432.61","0.10","812,614,432.61","2,234,483.00","363.67","United States","NYSE","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT INC","Real Estate","Equity","809,736,827.55","0.10","809,736,827.55","4,303,677.00","188.15","United States","NYSE","USD","1.00","USD","-"
"KMI","KINDER MORGAN INC","Energy","Equity","805,806,817.92","0.10","805,806,817.92","25,508,288.00","31.59","United States","NYSE","USD","1.00","USD","-"
"REGN","REGENERON PHARMACEUTICALS INC","Health Care","Equity","794,050,998.94","0.09","794,050,998.94","1,301,851.00","609.94","United States","NASDAQ","USD","1.00","USD","-"
"CIEN","CIENA CORP","Information Technology","Equity","788,753,833.92","0.09","788,753,833.92","1,841,936.00","428.22","United States","NYSE","USD","1.00","USD","-"
"TFC","TRUIST FINANCIAL CORP","Financials","Equity","784,503,482.58","0.09","784,503,482.58","16,232,226.00","48.33","United States","NYSE","USD","1.00","USD","-"
"D","DOMINION ENERGY INC","Utilities","Equity","783,854,025.39","0.09","783,854,025.39","11,458,179.00","68.41","United States","NYSE","USD","1.00","USD","-"
"ABNB","AIRBNB INC CLASS A","Consumer Discretionary","Equity","775,438,115.10","0.09","775,438,115.10","5,445,110.00","142.41","United States","NASDAQ","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","774,142,394.64","0.09","774,142,394.64","5,921,236.00","130.74","United States","NYSE","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","772,678,691.95","0.09","772,678,691.95","565,895.00","1,365.41","United States","NYSE","USD","1.00","USD","-"
"SRE","SEMPRA","Utilities","Equity","772,385,327.16","0.09","772,385,327.16","8,516,764.00","90.69","United States","NYSE","USD","1.00","USD","-"
"HCA","HCA HEALTHCARE INC","Health Care","Equity","759,038,316.45","0.09","759,038,316.45","2,023,185.00","375.17","United States","NYSE","USD","1.00","USD","-"
"CTAS","CINTAS CORP","Industrials","Equity","756,996,200.25","0.09","756,996,200.25","4,430,765.00","170.85","United States","NASDAQ","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","754,825,420.80","0.09","754,825,420.80","12,922,880.00","58.41","United States","NASDAQ","USD","1.00","USD","-"
"ALL","ALLSTATE CORP","Financials","Equity","741,783,168.85","0.09","741,783,168.85","3,353,905.00","221.17","United States","NYSE","USD","1.00","USD","-"
"O","REALTY INCOME REIT CORP","Real Estate","Equity","731,868,591.12","0.09","731,868,591.12","12,149,213.00","60.24","United States","NYSE","USD","1.00","USD","-"
"CARR","CARRIER GLOBAL CORP","Industrials","Equity","730,461,876.07","0.09","730,461,876.07","10,172,147.00","71.81","United States","NYSE","USD","1.00","USD","-"
"NUE","NUCOR CORP","Materials","Equity","723,479,453.01","0.09","723,479,453.01","2,967,147.00","243.83","United States","NYSE","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES CORP","Energy","Equity","723,135,001.96","0.09","723,135,001.96","2,796,562.00","258.58","United States","NYSE","USD","1.00","USD","-"
"F","FORD MOTOR CO","Consumer Discretionary","Equity","716,953,762.64","0.09","716,953,762.64","50,992,444.00","14.06","United States","NYSE","USD","1.00","USD","-"
"DAL","DELTA AIR LINES INC","Industrials","Equity","716,669,123.76","0.09","716,669,123.76","8,513,532.00","84.18","United States","NYSE","USD","1.00","USD","-"
"AJG","ARTHUR J GALLAGHER","Financials","Equity","716,471,021.42","0.09","716,471,021.42","3,347,057.00","214.06","United States","NYSE","USD","1.00","USD","-"
"LHX","L3HARRIS TECHNOLOGIES INC","Industrials","Equity","715,577,080.12","0.09","715,577,080.12","2,427,166.00","294.82","United States","NYSE","USD","1.00","USD","-"
"AME","AMETEK INC","Industrials","Equity","708,985,503.36","0.08","708,985,503.36","2,986,208.00","237.42","United States","NYSE","USD","1.00","USD","-"
"FLEX","FLEX LTD","Information Technology","Equity","707,104,449.16","0.08","707,104,449.16","4,790,356.00","147.61","United States","NASDAQ","USD","1.00","USD","-"
"NKE","NIKE INC CLASS B","Consumer Discretionary","Equity","706,383,294.80","0.08","706,383,294.80","15,627,949.00","45.20","United States","NYSE","USD","1.00","USD","-"
"MCHP","MICROCHIP TECHNOLOGY INC","Information Technology","Equity","703,413,419.50","0.08","703,413,419.50","7,050,350.00","99.77","United States","NASDAQ","USD","1.00","USD","-"
"OKE","ONEOK INC","Energy","Equity","697,970,625.66","0.08","697,970,625.66","8,208,522.00","85.03","United States","NYSE","USD","1.00","USD","-"
"AFL","AFLAC INC","Financials","Equity","689,156,136.90","0.08","689,156,136.90","5,968,270.00","115.47","United States","NYSE","USD","1.00","USD","-"
"COR","CENCORA INC","Health Care","Equity","689,055,886.74","0.08","689,055,886.74","2,534,878.00","271.83","United States","NYSE","USD","1.00","USD","-"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","686,895,056.52","0.08","686,895,056.52","1,449,788.00","473.79","United States","NYSE","USD","1.00","USD","-"
"FAST","FASTENAL","Industrials","Equity","686,396,462.70","0.08","686,396,462.70","14,957,430.00","45.89","United States","NASDAQ","USD","1.00","USD","-"
"CTVA","CORTEVA INC","Materials","Equity","684,825,951.13","0.08","684,825,951.13","8,713,907.00","78.59","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","679,335,270.83","0.08","679,335,270.83","679,335,271.00","1.00","United States","-","USD","1.00","USD","-"
"CAH","CARDINAL HEALTH INC","Health Care","Equity","676,708,756.23","0.08","676,708,756.23","3,051,399.00","221.77","United States","NYSE","USD","1.00","USD","-"
"VST","VISTRA CORP","Utilities","Equity","676,198,256.25","0.08","676,198,256.25","4,129,455.00","163.75","United States","NYSE","USD","1.00","USD","-"
"ETR","ENTERGY CORP","Utilities","Equity","662,846,704.80","0.08","662,846,704.80","5,965,680.00","111.11","United States","NYSE","USD","1.00","USD","-"
"AZO","AUTOZONE INC","Consumer Discretionary","Equity","657,977,565.28","0.08","657,977,565.28","214,711.00","3,064.48","United States","NYSE","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES CORP","Health Care","Equity","655,372,885.44","0.08","655,372,885.44","7,501,979.00","87.36","United States","NYSE","USD","1.00","USD","-"
"PSA","PUBLIC STORAGE REIT","Real Estate","Equity","654,832,205.28","0.08","654,832,205.28","2,058,444.00","318.12","United States","NYSE","USD","1.00","USD","-"
"DVN","DEVON ENERGY CORP","Energy","Equity","632,705,243.04","0.08","632,705,243.04","15,021,492.00","42.12","United States","NYSE","USD","1.00","USD","-"
"XEL","XCEL ENERGY INC","Utilities","Equity","629,611,680.47","0.07","629,611,680.47","8,133,467.00","77.41","United States","NASDAQ","USD","1.00","USD","-"
"EBAY","EBAY INC","Consumer Discretionary","Equity","626,141,989.44","0.07","626,141,989.44","5,784,756.00","108.24","United States","NASDAQ","USD","1.00","USD","-"
"FITB","FIFTH THIRD BANCORP","Financials","Equity","622,760,565.24","0.07","622,760,565.24","11,808,126.00","52.74","United States","NYSE","USD","1.00","USD","-"
"CVNA","CARVANA CLASS A","Consumer Discretionary","Equity","621,158,154.24","0.07","621,158,154.24","9,332,304.00","66.56","United States","NYSE","USD","1.00","USD","-"
"ON","ON SEMICONDUCTOR CORP","Information Technology","Equity","620,994,395.64","0.07","620,994,395.64","5,106,022.00","121.62","United States","NASDAQ","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","610,699,477.59","0.07","610,699,477.59","13,331,139.00","45.81","United States","NASDAQ","USD","1.00","USD","-"
"STT","STATE STREET CORP","Financials","Equity","606,915,424.78","0.07","606,915,424.78","3,605,938.00","168.31","United States","NYSE","USD","1.00","USD","-"
"WAB","WESTINGHOUSE AIR BRAKE TECHNOLOGIE","Industrials","Equity","605,358,993.13","0.07","605,358,993.13","2,210,711.00","273.83","United States","NYSE","USD","1.00","USD","-"
"MET","METLIFE INC","Financials","Equity","602,641,950.90","0.07","602,641,950.90","7,041,855.00","85.58","United States","NYSE","USD","1.00","USD","-"
"EA","ELECTRONIC ARTS INC","Communication","Equity","593,199,673.95","0.07","593,199,673.95","2,934,453.00","202.15","United States","NASDAQ","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES INC","Health Care","Equity","577,693,056.31","0.07","577,693,056.31","1,027,759.00","562.09","United States","NASDAQ","USD","1.00","USD","-"
"HUM","HUMANA INC","Health Care","Equity","564,156,139.40","0.07","564,156,139.40","1,564,276.00","360.65","United States","NYSE","USD","1.00","USD","-"
"IBKR","INTERACTIVE BROKERS GROUP INC CLAS","Financials","Equity","557,193,888.00","0.07","557,193,888.00","5,804,103.00","96.00","United States","NASDAQ","USD","1.00","USD","-"
"MSCI","MSCI INC","Financials","Equity","551,238,954.54","0.07","551,238,954.54","948,466.00","581.19","United States","NYSE","USD","1.00","USD","-"
"AMP","AMERIPRISE FINANCE INC","Financials","Equity","547,465,234.32","0.07","547,465,234.32","1,171,224.00","467.43","United States","NYSE","USD","1.00","USD","-"
"YUM","YUM BRANDS INC","Consumer Discretionary","Equity","545,792,746.22","0.06","545,792,746.22","3,590,978.00","151.99","United States","NYSE","USD","1.00","USD","-"
"KDP","KEURIG DR PEPPER INC","Consumer Staples","Equity","545,263,817.92","0.06","545,263,817.92","17,726,392.00","30.76","United States","NASDAQ","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","542,987,500.50","0.06","542,987,500.50","16,712,450.00","32.49","United States","NYSE","USD","1.00","USD","-"
"TTWO","TAKE TWO INTERACTIVE SOFTWARE INC","Communication","Equity","542,645,644.56","0.06","542,645,644.56","2,267,827.00","239.28","United States","NASDAQ","USD","1.00","USD","-"
"DHI","D R HORTON INC","Consumer Discretionary","Equity","542,241,156.78","0.06","542,241,156.78","3,436,038.00","157.81","United States","NYSE","USD","1.00","USD","-"
"RSG","REPUBLIC SERVICES INC","Industrials","Equity","533,968,915.66","0.06","533,968,915.66","2,605,489.00","204.94","United States","NYSE","USD","1.00","USD","-"
"ADSK","AUTODESK INC","Information Technology","Equity","533,194,555.96","0.06","533,194,555.96","2,750,978.00","193.82","United States","NASDAQ","USD","1.00","USD","-"
"ODFL","OLD DOMINION FREIGHT LINE INC","Industrials","Equity","527,043,797.28","0.06","527,043,797.28","2,384,382.00","221.04","United States","NASDAQ","USD","1.00","USD","-"
"XYZ","BLOCK INC CLASS A","Financials","Equity","521,434,359.36","0.06","521,434,359.36","6,972,912.00","74.78","United States","NYSE","USD","1.00","USD","-"
"PEG","PUBLIC SERVICE ENTERPRISE GROUP IN","Utilities","Equity","518,688,061.92","0.06","518,688,061.92","6,492,528.00","79.89","United States","NYSE","USD","1.00","USD","-"
"CCL","CARNIVAL CORP LTD","Consumer Discretionary","Equity","517,406,883.84","0.06","517,406,883.84","16,760,832.00","30.87","United States","NYSE","USD","1.00","USD","-"
"VTR","VENTAS REIT INC","Real Estate","Equity","516,872,433.60","0.06","516,872,433.60","6,334,221.00","81.60","United States","NYSE","USD","1.00","USD","-"
"BDX","BECTON DICKINSON","Health Care","Equity","516,877,689.46","0.06","516,877,689.46","3,589,927.00","143.98","United States","NYSE","USD","1.00","USD","-"
"VMC","VULCAN MATERIALS","Materials","Equity","511,953,745.56","0.06","511,953,745.56","1,690,509.00","302.84","United States","NYSE","USD","1.00","USD","-"
"AIG","AMERICAN INTERNATIONAL GROUP INC","Financials","Equity","511,322,980.06","0.06","511,322,980.06","6,907,903.00","74.02","United States","NYSE","USD","1.00","USD","-"
"JBL","JABIL INC","Information Technology","Equity","511,165,422.72","0.06","511,165,422.72","1,374,544.00","371.88","United States","NYSE","USD","1.00","USD","-"
"ED","CONSOLIDATED EDISON INC","Utilities","Equity","510,683,923.76","0.06","510,683,923.76","4,801,466.00","106.36","United States","NYSE","USD","1.00","USD","-"
"CBRE","CBRE GROUP INC CLASS A","Real Estate","Equity","501,866,012.55","0.06","501,866,012.55","3,815,021.00","131.55","United States","NYSE","USD","1.00","USD","-"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","500,661,050.00","0.06","500,661,050.00","2,137,750.00","234.20","United States","NYSE","USD","1.00","USD","-"
"UAL","UNITED AIRLINES HOLDINGS INC","Industrials","Equity","500,406,871.44","0.06","500,406,871.44","4,229,267.00","118.32","United States","NASDAQ","USD","1.00","USD","-"
"IRM","IRON MOUNTAIN INC","Real Estate","Equity","495,518,038.89","0.06","495,518,038.89","3,876,383.00","127.83","United States","NYSE","USD","1.00","USD","-"
"SYY","SYSCO CORP","Consumer Staples","Equity","490,311,152.30","0.06","490,311,152.30","6,230,129.00","78.70","United States","NYSE","USD","1.00","USD","-"
"OXY","OCCIDENTAL PETROLEUM CORP","Energy","Equity","490,214,816.28","0.06","490,214,816.28","9,459,954.00","51.82","United States","NYSE","USD","1.00","USD","-"
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","488,556,589.95","0.06","488,556,589.95","11,492,745.00","42.51","United States","NASDAQ","USD","1.00","USD","-"
"EME","EMCOR GROUP INC","Industrials","Equity","484,395,649.08","0.06","484,395,649.08","579,012.00","836.59","United States","NYSE","USD","1.00","USD","-"
"PRU","PRUDENTIAL FINANCIAL INC","Financials","Equity","481,622,236.53","0.06","481,622,236.53","4,521,001.00","106.53","United States","NYSE","USD","1.00","USD","-"
"NDAQ","NASDAQ INC","Financials","Equity","478,716,984.00","0.06","478,716,984.00","5,820,975.00","82.24","United States","NASDAQ","USD","1.00","USD","-"
"MLM","MARTIN MARIETTA MATERIALS INC","Materials","Equity","476,534,067.84","0.06","476,534,067.84","782,332.00","609.12","United States","NYSE","USD","1.00","USD","-"
"WEC","WEC ENERGY GROUP INC","Utilities","Equity","476,024,017.41","0.06","476,024,017.41","4,243,773.00","112.17","United States","NYSE","USD","1.00","USD","-"
"COIN","COINBASE GLOBAL INC CLASS A","Financials","Equity","473,114,419.20","0.06","473,114,419.20","2,897,920.00","163.26","United States","NASDAQ","USD","1.00","USD","-"
"PCG","PG&E CORP","Utilities","Equity","472,847,868.00","0.06","472,847,868.00","28,692,225.00","16.48","United States","NYSE","USD","1.00","USD","-"
"ADM","ARCHER DANIELS MIDLAND","Consumer Staples","Equity","471,952,657.30","0.06","471,952,657.30","6,284,323.00","75.10","United States","NYSE","USD","1.00","USD","-"
"A","AGILENT TECHNOLOGIES INC","Health Care","Equity","467,825,644.62","0.06","467,825,644.62","3,681,927.00","127.06","United States","NYSE","USD","1.00","USD","-"
"CCI","CROWN CASTLE INC","Real Estate","Equity","466,573,140.45","0.06","466,573,140.45","5,686,449.00","82.05","United States","NYSE","USD","1.00","USD","-"
"FANG","DIAMONDBACK ENERGY INC","Energy","Equity","464,066,362.00","0.06","464,066,362.00","2,528,972.00","183.50","United States","NASDAQ","USD","1.00","USD","-"
"Q","QNITY ELECTRONICS INC","Information Technology","Equity","460,884,838.96","0.05","460,884,838.96","2,727,452.00","168.98","United States","NYSE","USD","1.00","USD","-"
"HIG","HARTFORD INSURANCE GROUP INC","Financials","Equity","458,051,800.50","0.05","458,051,800.50","3,571,554.00","128.25","United States","NYSE","USD","1.00","USD","-"
"WAT","WATERS CORP","Health Care","Equity","454,690,932.96","0.05","454,690,932.96","1,279,234.00","355.44","United States","NYSE","USD","1.00","USD","-"
"KVUE","KENVUE INC","Consumer Staples","Equity","453,277,380.96","0.05","453,277,380.96","25,015,308.00","18.12","United States","NYSE","USD","1.00","USD","-"
"HBAN","HUNTINGTON BANCSHARES INC","Financials","Equity","445,288,617.00","0.05","445,288,617.00","26,410,950.00","16.86","United States","NASDAQ","USD","1.00","USD","-"
"AXON","AXON ENTERPRISE INC","Industrials","Equity","444,636,050.40","0.05","444,636,050.40","1,050,156.00","423.40","United States","NASDAQ","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK CORP","Consumer Staples","Equity","443,548,103.52","0.05","443,548,103.52","4,324,767.00","102.56","United States","NASDAQ","USD","1.00","USD","-"
"STLD","STEEL DYNAMICS INC","Materials","Equity","441,390,292.27","0.05","441,390,292.27","1,766,197.00","249.91","United States","NASDAQ","USD","1.00","USD","-"
"ROP","ROPER TECHNOLOGIES INC","Information Technology","Equity","434,236,117.00","0.05","434,236,117.00","1,314,851.00","330.26","United States","NASDAQ","USD","1.00","USD","-"
"ZTS","ZOETIS INC CLASS A","Health Care","Equity","429,917,404.53","0.05","429,917,404.53","5,462,043.00","78.71","United States","NYSE","USD","1.00","USD","-"
"MTB","M&T BANK CORP","Financials","Equity","429,525,358.08","0.05","429,525,358.08","1,907,984.00","225.12","United States","NYSE","USD","1.00","USD","-"
"KR","KROGER","Consumer Staples","Equity","418,370,544.00","0.05","418,370,544.00","7,390,400.00","56.61","United States","NYSE","USD","1.00","USD","-"
"NTRS","NORTHERN TRUST CORP","Financials","Equity","414,951,702.48","0.05","414,951,702.48","2,410,968.00","172.11","United States","NASDAQ","USD","1.00","USD","-"
"EQT","EQT CORP","Energy","Equity","413,890,973.92","0.05","413,890,973.92","8,160,311.00","50.72","United States","NYSE","USD","1.00","USD","-"
"ACGL","ARCH CAPITAL GROUP LTD","Financials","Equity","413,383,404.26","0.05","413,383,404.26","4,533,707.00","91.18","United States","NASDAQ","USD","1.00","USD","-"
"PAYX","PAYCHEX INC","Industrials","Equity","412,729,522.88","0.05","412,729,522.88","4,201,237.00","98.24","United States","NASDAQ","USD","1.00","USD","-"
"NTAP","NETAPP INC","Information Technology","Equity","410,612,493.48","0.05","410,612,493.48","2,570,988.00","159.71","United States","NASDAQ","USD","1.00","USD","-"
"CASY","CASEYS GENERAL STORES INC","Consumer Staples","Equity","405,533,268.00","0.05","405,533,268.00","481,488.00","842.25","United States","NASDAQ","USD","1.00","USD","-"
"EXR","EXTRA SPACE STORAGE REIT INC","Real Estate","Equity","400,018,354.39","0.05","400,018,354.39","2,752,483.00","145.33","United States","NYSE","USD","1.00","USD","-"
"DTE","DTE ENERGY","Utilities","Equity","399,939,393.56","0.05","399,939,393.56","2,710,351.00","147.56","United States","NYSE","USD","1.00","USD","-"
"DOV","DOVER CORP","Industrials","Equity","392,240,150.80","0.05","392,240,150.80","1,754,440.00","223.57","United States","NYSE","USD","1.00","USD","-"
"AEE","AMEREN CORP","Utilities","Equity","391,836,091.81","0.05","391,836,091.81","3,605,743.00","108.67","United States","NYSE","USD","1.00","USD","-"
"HAL","HALLIBURTON","Energy","Equity","380,185,944.32","0.05","380,185,944.32","10,884,224.00","34.93","United States","NYSE","USD","1.00","USD","-"
"BIIB","BIOGEN INC","Health Care","Equity","378,129,689.78","0.04","378,129,689.78","1,923,541.00","196.58","United States","NASDAQ","USD","1.00","USD","-"
"TPR","TAPESTRY INC","Consumer Discretionary","Equity","377,742,942.50","0.04","377,742,942.50","2,632,355.00","143.50","United States","NYSE","USD","1.00","USD","-"
"VICI","VICI PPTYS INC","Real Estate","Equity","374,183,627.76","0.04","374,183,627.76","14,238,342.00","26.28","United States","NYSE","USD","1.00","USD","-"
"TDY","TELEDYNE TECHNOLOGIES INC","Information Technology","Equity","373,987,781.70","0.04","373,987,781.70","603,615.00","619.58","United States","NYSE","USD","1.00","USD","-"
"CNC","CENTENE CORP","Health Care","Equity","372,772,095.30","0.04","372,772,095.30","6,109,015.00","61.02","United States","NYSE","USD","1.00","USD","-"
"NRG","NRG ENERGY INC","Utilities","Equity","371,268,324.84","0.04","371,268,324.84","2,748,914.00","135.06","United States","NYSE","USD","1.00","USD","-"
"ATO","ATMOS ENERGY CORP","Utilities","Equity","369,947,743.16","0.04","369,947,743.16","2,174,756.00","170.11","United States","NYSE","USD","1.00","USD","-"
"CFG","CITIZENS FINANCIAL GROUP INC","Financials","Equity","369,586,584.12","0.04","369,586,584.12","5,509,639.00","67.08","United States","NYSE","USD","1.00","USD","-"
"OTIS","OTIS WORLDWIDE CORP","Industrials","Equity","366,301,275.45","0.04","366,301,275.45","4,999,335.00","73.27","United States","NYSE","USD","1.00","USD","-"
"CNP","CENTERPOINT ENERGY INC","Utilities","Equity","365,499,059.38","0.04","365,499,059.38","8,535,709.00","42.82","United States","NYSE","USD","1.00","USD","-"
"GEHC","GE HEALTHCARE TECHNOLOGIES INC","Health Care","Equity","365,021,572.83","0.04","365,021,572.83","5,926,637.00","61.59","United States","NASDAQ","USD","1.00","USD","-"
"IQV","IQVIA HOLDINGS INC","Health Care","Equity","364,815,361.69","0.04","364,815,361.69","2,174,497.00","167.77","United States","NYSE","USD","1.00","USD","-"
"DXCM","DEXCOM INC","Health Care","Equity","364,709,115.91","0.04","364,709,115.91","5,032,553.00","72.47","United States","NASDAQ","USD","1.00","USD","-"
"USD","USD CASH","Cash and/or Derivatives","Cash","363,633,347.97","0.04","363,633,347.97","363,633,348.00","100.00","United States","-","USD","1.00","USD","-"
"IR","INGERSOLL RAND INC","Industrials","Equity","361,483,234.14","0.04","361,483,234.14","4,639,754.00","77.91","United States","NYSE","USD","1.00","USD","-"
"FSLR","FIRST SOLAR INC","Information Technology","Equity","360,764,022.60","0.04","360,764,022.60","1,399,938.00","257.70","United States","NASDAQ","USD","1.00","USD","-"
"HUBB","HUBBELL INC","Industrials","Equity","360,555,328.10","0.04","360,555,328.10","688,490.00","523.69","United States","NYSE","USD","1.00","USD","-"
"EIX","EDISON INTERNATIONAL","Utilities","Equity","360,414,188.68","0.04","360,414,188.68","5,013,412.00","71.89","United States","NYSE","USD","1.00","USD","-"
"EXPE","EXPEDIA GROUP INC","Consumer Discretionary","Equity","359,378,715.30","0.04","359,378,715.30","1,491,817.00","240.90","United States","NASDAQ","USD","1.00","USD","-"
"RMD","RESMED INC","Health Care","Equity","356,486,366.73","0.04","356,486,366.73","1,889,871.00","188.63","United States","NYSE","USD","1.00","USD","-"
"ARES","ARES MANAGEMENT CORP CLASS A","Financials","Equity","355,444,815.62","0.04","355,444,815.62","2,748,143.00","129.34","United States","NYSE","USD","1.00","USD","-"
