iShares Core S&P Small-Cap ETF
Fund Holdings as of,"Jun 19, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"-"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Type,Sector,Asset Class,Market Value,Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date,Market Weight,Notional Weight
"JBTM","JBT MAREL CORP","EQUITY","Industrials","Equity","416,268,055.00","416,268,055.00","3,139,750.00","132.58","United States","NYSE","USD","1.00","USD","-","0.39","0.39"
"ENPH","ENPHASE ENERGY INC","EQUITY","Information Technology","Equity","415,494,149.84","415,494,149.84","7,947,478.00","52.28","United States","NASDAQ","USD","1.00","USD","-","0.39","0.39"
"TRNO","TERRENO REALTY REIT CORP","EQUITY","Real Estate","Equity","412,509,433.05","412,509,433.05","6,410,403.00","64.35","United States","NYSE","USD","1.00","USD","-","0.39","0.38"
"PTGX","PROTAGONIST THERAPEUTICS INC","EQUITY","Health Care","Equity","411,411,379.50","411,411,379.50","3,645,325.00","112.86","United States","NASDAQ","USD","1.00","USD","-","0.38","0.38"
"KGS","KODIAK GAS SERVICES INC","EQUITY","Energy","Equity","408,362,760.36","408,362,760.36","5,902,902.00","69.18","United States","NYSE","USD","1.00","USD","-","0.38","0.38"
"AWI","ARMSTRONG WORLD INDUSTRIES INC","EQUITY","Industrials","Equity","406,314,600.08","406,314,600.08","2,573,566.00","157.88","United States","NYSE","USD","1.00","USD","-","0.38","0.38"
"MAC","MACERICH REIT","EQUITY","Real Estate","Equity","404,490,896.55","404,490,896.55","17,117,685.00","23.63","United States","NYSE","USD","1.00","USD","-","0.38","0.38"
"ACA","ARCOSA INC","EQUITY","Industrials","Equity","402,156,629.28","402,156,629.28","2,960,517.00","135.84","United States","NYSE","USD","1.00","USD","-","0.38","0.37"
"MSGS","MADISON SQUARE GARDEN SPORTS CORP","EQUITY","Communication","Equity","401,341,991.50","401,341,991.50","1,084,415.00","370.10","United States","NYSE","USD","1.00","USD","-","0.38","0.37"
"LKQ","LKQ CORP","EQUITY","Consumer Discretionary","Equity","396,391,122.60","396,391,122.60","15,363,997.00","25.80","United States","NASDAQ","USD","1.00","USD","-","0.37","0.37"
"PTCT","PTC THERAPEUTICS INC","EQUITY","Health Care","Equity","395,046,665.86","395,046,665.86","5,001,857.00","78.98","United States","NASDAQ","USD","1.00","USD","-","0.37","0.37"
"VSXY","VICTORIA S SECRET","EQUITY","Consumer Discretionary","Equity","392,635,749.82","392,635,749.82","4,789,409.00","81.98","United States","NYSE","USD","1.00","USD","-","0.37","0.37"
"AROC","ARCHROCK INC","EQUITY","Energy","Equity","390,711,086.16","390,711,086.16","10,568,328.00","36.97","United States","NYSE","USD","1.00","USD","-","0.37","0.36"
"RTYU6","RUSSELL 2000 EMINI CME SEP 26","INDEX","Cash and/or Derivatives","Futures","0.00","389,700,000.00","2,598.00","3,000.00","-","Chicago Mercantile Exchange","USD","1.00","USD","-","-","0.36"
"GVA","GRANITE CONSTRUCTION INC","EQUITY","Industrials","Equity","386,909,593.20","386,909,593.20","2,637,960.00","146.67","United States","NYSE","USD","1.00","USD","-","0.36","0.36"
"LUMN","LUMEN TECHNOLOGIES INC","EQUITY","Communication","Equity","385,902,389.40","385,902,389.40","47,061,267.00","8.20","United States","NYSE","USD","1.00","USD","-","0.36","0.36"
"POOL","POOL CORP","EQUITY","Consumer Discretionary","Equity","384,810,443.82","384,810,443.82","1,933,818.00","198.99","United States","NASDAQ","USD","1.00","USD","-","0.36","0.36"
"KLIC","KULICKE AND SOFFA INDUSTRIES INC","EQUITY","Information Technology","Equity","384,584,305.91","384,584,305.91","3,155,693.00","121.87","United States","NASDAQ","USD","1.00","USD","-","0.36","0.36"
"EPRT","ESSENTIAL PROPERTIES REALTY TRUST","EQUITY","Real Estate","Equity","382,846,061.76","382,846,061.76","13,039,716.00","29.36","United States","NYSE","USD","1.00","USD","-","0.36","0.36"
"ACMR","ACM RESEARCH CLASS A INC","EQUITY","Information Technology","Equity","378,059,483.77","378,059,483.77","3,440,971.00","109.87","United States","NASDAQ","USD","1.00","USD","-","0.35","0.35"
"LW","LAMB WESTON HOLDINGS INC","EQUITY","Consumer Staples","Equity","375,160,232.58","375,160,232.58","8,325,793.00","45.06","United States","NYSE","USD","1.00","USD","-","0.35","0.35"
"SM","SM ENERGY","EQUITY","Energy","Equity","372,743,989.66","372,743,989.66","13,734,119.00","27.14","United States","NYSE","USD","1.00","USD","-","0.35","0.35"
"VSEC","VSE CORP","EQUITY","Industrials","Equity","370,882,972.60","370,882,972.60","1,691,830.00","219.22","United States","NASDAQ","USD","1.00","USD","-","0.35","0.35"
"MRCY","MERCURY SYSTEMS INC","EQUITY","Industrials","Equity","362,930,815.29","362,930,815.29","3,186,119.00","113.91","United States","NASDAQ","USD","1.00","USD","-","0.34","0.34"
"CZR","CAESARS ENTERTAINMENT INC","EQUITY","Consumer Discretionary","Equity","358,870,601.94","358,870,601.94","12,281,677.00","29.22","United States","NASDAQ","USD","1.00","USD","-","0.34","0.33"
